date,media_buyer,region,team,ad_spend_usd,result_count,lead_count,platform,cost_per_lead,cost_per_result
2025-06-01,YJ,IN,ZZ,4049.6,1078.0,327.0,,12.38409786,12.38409786
2025-06-01,HW,IN,ZZ,9043.67,1330.0,563.0,,16.06335702,16.06335702
2025-06-01,HY,IN,ZZ,6718.01,1468.0,467.0,,14.38546039,14.38546039
2025-06-02,ZYH,DE,ZZ,103.4,2.0,0.0,,,
2025-06-02,HY,IN,ZZ,5414.55,1082.0,393.0,,13.77748092,13.77748092
2025-06-02,YJ,IN,ZZ,4574.22,1095.0,392.0,,11.66892857,11.66892857
2025-06-02,HW,IN,ZZ,5362.36,940.0,539.0,,9.948719852,9.948719852
2025-06-02,WD,DE,ZZ,118.03,5.0,1.0,,118.03,118.03
2025-06-02,LYD,DE,ZZ,152.82,3.0,0.0,,,
2025-06-02,XW,DE,UNKNOWN,23.05,0.0,0.0,,,
2025-06-02,YK,DE,ZZ,286.71,8.0,1.0,,286.71,286.71
2025-06-03,YJ,IN,ZZ,4659.95,1027.0,345.0,,13.50710145,13.50710145
2025-06-03,HW,IN,ZZ,5054.78,1200.0,562.0,,8.994270463,8.994270463
2025-06-03,HY,IN,ZZ,5353.02,1230.0,412.0,,12.99276699,12.99276699
2025-06-04,YK,DE,ZZ,238.23,11.0,3.0,,79.41,79.41
2025-06-04,WD,DE,ZZ,1.22,0.0,0.0,,,
2025-06-04,LYD,奥地利,ZZ,190.76,6.0,3.0,,63.58666667,63.58666667
2025-06-04,YK,奥地利,ZZ,78.69,2.0,0.0,,,
2025-06-04,LYD,DE,ZZ,165.12,3.0,0.0,,,
2025-06-04,ZYH,DE,ZZ,356.94,4.0,0.0,,,
2025-06-04,ZYH,奥地利,ZZ,38.27,1.0,0.0,,,
2025-06-05,WD,DE,ZZ,207.79,11.0,1.0,,207.79,207.79
2025-06-05,ZYH,DE,ZZ,72.76,1.0,0.0,,,
2025-06-05,LYD,奥地利,ZZ,281.09,6.0,3.0,,93.69666667,93.69666667
2025-06-05,LYD,DE,ZZ,97.92,1.0,0.0,,,
2025-06-05,YK,DE,ZZ,415.74,18.0,3.0,,138.58,138.58
2025-06-06,MY,IN,ZZ,1069.21,108.0,52.0,,20.56173077,20.56173077
2025-06-06,YJ,IN,ZZ,1971.11,375.0,114.0,,17.2904386,17.2904386
2025-06-06,SG,IN,ZZ,829.88,98.0,28.0,,29.63857143,29.63857143
2025-06-06,HW,IN,ZZ,1599.18,151.0,58.0,,27.57206897,27.57206897
2025-06-06,YK,DE,ZZ,301.58,15.0,6.0,,50.26333333,50.26333333
2025-06-06,HY,IN,ZZ,7661.07,806.0,461.0,,16.6183731,16.6183731
2025-06-06,WD,DE,ZZ,104.55,7.0,0.0,,,
2025-06-06,WD,奥地利,ZZ,50.85,1.0,0.0,,,
2025-06-06,LYD,奥地利,ZZ,190.27,5.0,2.0,,95.135,95.135
2025-06-06,LYD,DE,ZZ,37.26,0.0,0.0,,,
2025-06-06,ZYH,奥地利,ZZ,71.8,1.0,0.0,,,
2025-06-07,HY,IN,ZZ,2864.24,846.0,322.0,,8.89515528,8.89515528
2025-06-07,YJ,IN,ZZ,2089.16,520.0,160.0,,13.05725,13.05725
