9月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
72340.42249,,19,2024-09-03 00:00:00,L ynn 印度 fb 美国 fb 土耳其 fb 巴西 FB,6132,退款,20:56:00,账单户广告费,5000.4,桃子熊,22:57:00,896.11,退款，户对接-Nancy,,,,,
,,20,2024-09-04 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,BBH ACC New 1,11:09:00,42233,13期上粉（20000),192233,,,,
,,21,2024-09-04 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,11:24:00,200000,印度14期,200000,-83868,,,
,,22,2024-09-04 00:00:00,印度14期,100000,小柒,13:31:00,广告配套,9,美国IP*1,14:19:00,400000,印度15期,,,,,
,,23,2024-09-04 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,BBH ACC New 1,15:50:00,88636,印度粉 FB 李修缘,188636,,,,
,,24,2024-09-04 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,Z0007-R1,15:54:00,120000,凯旋城-印度-阿荣一期,,,,,
,,25,2024-09-04 00:00:00,13期上粉（20000),27038,小柒,17:09:00,,,,,95000,凯旋城二期印度,,,,,
,,26,2024-09-04 00:00:00,土耳其打粉群1,100000,阿斗,18:23:00,广告配套,210.75,谷歌邮箱*1,19:04:00,150000,凯旋城三期印度,329526,,,,
,,27,2024-09-04 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,47600,BBH ACC New 3W，Z0007-R1 1W,19:33:00,50000,天叶印度引流8/22,200000,,,,
,,28,2024-09-04 00:00:00,,,,,深圳团队备用金,20000,深圳团队备用金，老傅,19:42:00,20000,土耳期（金边）,120000,,,,
,,29,2024-09-04 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,22:57:00,198660,土耳其打粉群1西港,435300,,,,
,,30,2024-09-05 00:00:00,wade- 海外户对接nancy,5430,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,09:43:00,12092,美国股票粉（2）菲菲西港回款,22092,（其中1W转后勤钱包）,,,
,,31,2024-09-05 00:00:00,,,,,广告配套,45,美国IP*5,11:56:00,350000,土耳其西港2期,,,,,
,,32,2024-09-05 00:00:00,,,,,广告配套,211.33,个号*5,13:40:00,300000,印度一期9/19,300000,,,,
,,33,2024-09-05 00:00:00,,,,,后勤转入,20000,,14:34:00,109160,海哥-印度粉9/22,,,,,
,,34,2024-09-05 00:00:00,,,,,广告配套,300,浏览器充值,15:36:00,2154967.91,,,,,,
,,35,2024-09-05 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM充2W+3800手续费，5000+20000*1.19=28800,17:29:00,合并转款，同一笔,,,,,,
,,36,2024-09-05 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5000,3000的账户解封费和2000的开户费,17:29:00,合并转款，同一笔,3000的账户解封费和2000的开户费,,,,,
,,37,2024-09-06 00:00:00,,,,,账单户广告费,3000.28,桃子熊,08：39,,,,,,,
,,38,2024-09-06 00:00:00,,,,,启航广告费,11325.43,启航,08:58:00,,,,,,,
,,39,2024-09-06 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,Z0007-R1,14：50,,,,,,,
,,40,2024-09-06 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,17:45:00,,,,,,,
,,41,2024-09-06 00:00:00,,,,,广告配套,45,美国IP*5,19:48:00,,,,,,,
,,42,2024-09-06 00:00:00,,,,,广告配套,10,账单户*50预定,20:42:00,同一笔,,,,,,
,,43,2024-09-06 00:00:00,,,,,广告配套,2455,账单户*50预定,20:44:00,同一笔,,,,,,
,,44,2024-09-06 00:00:00,,,,,账单户广告费,3000.38,桃子熊,22：24,,,,,,,
,,45,2024-09-07 00:00:00,天叶印度引流,50000,小花，天叶印度引流8/22,00：09,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,13:54:00,合并转款，同一笔,,,,,,
,,46,2024-09-07 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,Z0007-R1,13:54:00,合并转款，同一笔,,,,,,
,,47,2024-09-07 00:00:00,后勤转入,20000,,13：53,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,13:54:00,合并转款，同一笔,,,,,,
,,48,2024-09-07 00:00:00,印度粉 FB 李修缘,36,咖啡,19：09,,,,,,,,,,,
,,49,2024-09-07 00:00:00,印度粉 FB 李修缘,38600,咖啡,19：10,广告配套,45,美国IP*5,19:20:00,,,,,,,
,,50,2024-09-07 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,19:39:00,,,,,,,
,,51,2024-09-07 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,22:25:00,,,,,,,
,,52,2024-09-08 00:00:00,印度15期,100000,小柒,17:41:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,17:44:00,合并转款，同一笔,,,,,,
,,53,2024-09-08 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,17:44:00,合并转款，同一笔,,,,,,
,,54,2024-09-08 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,21:45:00,,,,,,,
,,55,2024-09-09 00:00:00,,,,,账单户广告费,3000.63,桃子熊,08：58,,,,,,,
,,56,2024-09-09 00:00:00,fb广告费充值,2562.2,退款，深圳芳林子,14：47,推特代投,2890,推特代投,15：33,,,,,,,
,,57,2024-09-09 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,15：44,,,,,,,
,,58,2024-09-09 00:00:00,13期上粉（20000),15195,小柒,17：45,账单户广告费,3000.37,桃子熊,19:34:00,,,,,,,
,,59,2024-09-09 00:00:00,,,,,推特代投,10285,400+205=605*17=10285,22：48,,,,,,,
,,60,2024-09-10 00:00:00,凯旋城-印度-阿荣,10,成成,00:46:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,Z0007-R1,02:17:00,,,,,,,
,,61,2024-09-10 00:00:00,凯旋城-印度-阿荣,49990,成成,01:05:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,02:17:00,,,,,,,
,,62,2024-09-10 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,15：20,,,,,,,
,,63,2024-09-10 00:00:00,,,,,账单户广告费,500.86,桃子熊,15：25,,,,,,,
,,64,2024-09-10 00:00:00,凯旋城-印度-阿荣,20000,成成,20:53:00,广告配套,75,个号申诉12*5 ,22:46:00,,,,,,,
,,65,2024-09-10 00:00:00,推特代投,5695,退款，推特代投,22：55,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,23:51:00,,,,,,,
,,66,2024-09-11 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,16:55:00,合并转款，同一笔,,,,,,
,,67,2024-09-11 00:00:00,,,,,账单户广告费,2000.62,桃子熊,17：18,,,,,,,
,,68,2024-09-11 00:00:00,美国股票粉（2）菲菲西港回款,12092,张总,20：23,账单户广告费,5000.57,桃子熊,20：27,,,,,,,
,,69,2024-09-12 00:00:00,,,,,,,,,,,,,,,
,,70,2024-09-12 00:00:00,土耳其西港2期,100000,小柒,16:52:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,16:55:00,合并转款，同一笔,,,,,,
,,71,2024-09-12 00:00:00,,,,,户对接-Nancy,1110,"开户费 50
充值 1000*1.06=1060 一共1110",17：32,,,,,,,
,,72,2024-09-12 00:00:00,,,,,印度 金融，测户Old K,2280,"开户费：＄100
充值费用：＄2000
手续费：180
合计需： ＄2280",18:14:00,,,,,,,
,,73,2024-09-12 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,18:58:00,,,,,,,
,,74,2024-09-12 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,23:57:00,,,,,,,
,,75,2024-09-13 00:00:00,凯旋城二期印度,20000,成成,19：02,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,21:08:00,,,,,,,
,,76,2024-09-14 00:00:00,印度15期,100000,小柒,17:35:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,17：37,合并转款，同一笔,,,,,,
,,77,2024-09-14 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,17：37,合并转款，同一笔,,,,,,
,,78,2024-09-14 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,18:13:00,,,,,,,
,,79,2024-09-14 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,1500,解封费,19：58,上次有个解封费1500+这次开户费2000+新下户充值9203*1.19=10951.57+3500=14451.57,,,,,,
,,80,2024-09-14 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,2000,开户费,19：58,,,,,,,
,,81,2024-09-14 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,10951.57,Z0006-R1；9203*1.19=10951.57,19：58,,,,,,,
,,82,2024-09-14 00:00:00,,,,,广告配套,200,矿工费,20：37,,,,,,,
,,83,2024-09-14 00:00:00,,,,,账单户广告费,2000.07,桃子熊,14:02:00,,,,,,,
,,84,2024-09-15 00:00:00,,,,,启航广告费,7465.22,启航,14:05:00,,,,,,,
,,85,2024-09-15 00:00:00,凯旋城二期印度,20000,成成,17：56,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,18:05:00,,,,,,,
,,86,2024-09-15 00:00:00,印度15期,100000,小柒,22：29,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,22：30,合并转款，同一笔,,,,,,
,,87,2024-09-15 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,22：30,合并转款，同一笔,,,,,,
,,88,2024-09-16 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,13:50:00,,,,,,,
,,89,2024-09-16 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,19：44,,,,,,,
,,90,2024-09-16 00:00:00,还款,2000,张总,21:37:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,21：52,,,,,,,
,,91,2024-09-17 00:00:00,,,,,广告配套,5,个号受限申诉费,14：32,,,,,,,
,,92,2024-09-17 00:00:00,印度15期,100000,小柒,16:53:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,16：54,合并转款，同一笔,,,,,,
,,93,2024-09-17 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,16：54,合并转款，同一笔,,,,,,
,,94,2024-09-17 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,20:39:00,,,,,,,
,,95,2024-09-18 00:00:00,,,,,广告配套,228,防护,13:14:00,,,,,,,
,,96,2024-09-18 00:00:00,,,,,广告配套,90,美国IP*10,20:03:00,,,,,,,
,,97,2024-09-18 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5950,SFA,22：25,,,,,,,
,,98,2024-09-19 00:00:00,wade 美国户6+1,1198.6,Jennie退款,19：08,启航广告费,1189.59,启航,11:03:00,,,,,,,
,,99,2024-09-19 00:00:00,,,,,启航广告费,10191.05,启航,20：58,,,,,,,
,,100,2024-09-19 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5950,SFA,22：02,,,,,,,
,,101,2024-09-20 00:00:00,,,,,FF139-KE户-对接,1100,开户费100+充值金额1000,09：19,,,,,,,
,,102,2024-09-20 00:00:00,印度一期9/19,100000,小柒,10：06,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,10：16,,,,,,,
,,103,2024-09-20 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,SFA,11：07,,,,,,,
,,104,2024-09-20 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,14:47:00,,,,,,,
,,105,2024-09-20 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11887,SFA,14:55:00,,,,,,,
,,106,2024-09-20 00:00:00,,,,,广告配套,300,账单户*6,16:27:00,,,,,,,
,,107,2024-09-20 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,17:16:00,合并转款，同一笔,,,,,,
,,108,2024-09-20 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,11900,SFA,17:16:00,合并转款，同一笔,,,,,,
,,109,2024-09-20 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,23:09:00,,,,,,,
,,110,2024-09-20 00:00:00,凯旋城二期印度,15000,成成,22：39,凤凰&洛阳&15+1（1200）&8+1（60）,11900,SFA,15:12:00,2024-09-21 00:00:00,,,,,,
,,111,2024-09-21 00:00:00,FF139-KE户-对接,1100,退款,13:51:00,凤凰&洛阳&15+1（1200）&8+1（60）,11900,EGM,15:12:00,2024-09-21 00:00:00,,,,,,
,,112,2024-09-21 00:00:00,印度一期9/19,100000,小柒,15:06:00,凤凰&洛阳&15+1（1200）&8+1（60）,944,"ke户843*1.12=944
",15:12:00,同一笔,,,,,,
,,113,2024-09-21 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,15:12:00,同一笔,,,,,,
,,114,2024-09-21 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,15:12:00,同一笔,,,,,,
,,115,2024-09-21 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5600,ke户5000*1.12=5600,15:12:00,同一笔,,,,297487,,
,,116,2024-09-21 00:00:00,,,,,启航广告费,10000,启航,16:55:00,合并转款，同一笔,,,,47600,,
,,117,2024-09-21 00:00:00,土耳其西港2期,100000,小柒,17:37:00,凤凰&洛阳&15+1（1200）&8+1（60）,47600,SFA,17:46:00,合并转款，同一笔,,,,345087,338715.4545,
,,118,2024-09-21 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,47600,EGM,17:46:00,,,,,,,
,,119,2024-09-22 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,20000,EGM,22:12:00,2024-09-22 17:28:00,手续费没给,,,,,
,,120,2024-09-22 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,20000,SFA,22:12:00,2024-09-22 18:29:00,手续费没给,,,,,
,,121,2024-09-22 00:00:00,,,,,广告配套,36,WS号*2,18:51:00,,,,,,,
,,122,2024-09-22 00:00:00,海哥-印度粉9/22,21000,泰总,22:12:00,,,,,,,,,,,
,,123,2024-09-23 00:00:00,土耳其打粉群1,98660,阿斗,13:34:00,凤凰&洛阳&15+1（1200）&8+1（60）,67100,EGM 充2W，SFA冲1W（9/22），SFA冲2W（9/23）,13:41:00,67100,,,,,,
,,124,2024-09-23 00:00:00,,,,,启航广告费,10000,启航,14:05:00,,,,,,,
,,125,2024-09-23 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,17:54:00,合并转款，同一笔,,,,,,
,,126,2024-09-23 00:00:00,凯旋城二期印度,20000,成成,17:42:00,凤凰&洛阳&15+1（1200）&8+1（60）,5600,ke户5000*1.12=5600,17:54:00,合并转款，同一笔,,,,,,
,,127,2024-09-23 00:00:00,海哥-印度粉9/22,16800,泰总,20:42:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,20:45:00,,,,,,,
,,128,2024-09-24 00:00:00,印度一期9/19,100000,小柒,13:07:00,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,13:16:00,,,,,,,
,,129,2024-09-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5600,ke户5000*1.12=5600,13:16:00,,,,,,,
,,130,2024-09-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,13:16:00,,,,,,,
,,131,2024-09-24 00:00:00,,,,,启航广告费,9953.61,启航,13:18:00,,,EGM,71400,,,
,,132,2024-09-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,16:18:00,,,SFA,71400,,,
,,133,2024-09-24 00:00:00,,,,,土耳其的代投,2000,土耳其,16:24:00,,,,,,,
,,134,2024-09-24 00:00:00,户对接-Nancy,896.11,15:46:00,退款,广告配套,45,美国IP*5,17:38:00,,,,,,,
,,135,2024-09-24 00:00:00,凯旋城二期印度,20000,成成,18：06,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,18:23:00,,,,,,,
,,136,2024-09-24 00:00:00,土耳其西港2期,100000,小柒,18:23:00,,,,,,,,2024-09-24 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,150640.0,
,,137,2024-09-24 00:00:00,海哥-印度粉9/22,28000,泰总,18:27:00,张总转出,1279,,19:11:00,,,,2024-09-24 00:00:00,启航广告费,28234.21,
,,138,2024-09-24 00:00:00,张总转入,6279,张总,20：40,张总转出,100,小额核对,20:43:00,,,,2024-09-24 00:00:00,土耳其的代投,2000.0,
,,139,2024-09-24 00:00:00,,,,,张总转出,4900,,20:46:00,,,,2024-09-24 00:00:00,广告配套,45.0,
,,140,2024-09-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,22:45:00,合并转款，同一笔,,,,,180919.21,
,,141,2024-09-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,22:45:00,合并转款，同一笔,,,,,,
,,142,2024-09-24 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,2240,Alex 3523 - P,22:45:00,合并转款，同一笔,,,,,,
,,143,2024-09-24 00:00:00,,,,,启航广告费,18280.6,启航,22:47:00,,,,2024-09-25 00:00:00,凤凰&洛阳&15+1（1200）&8+1（60）,95200.0,23800未付
,,144,2024-09-25 00:00:00,海哥-印度粉9/22,21000,泰总,10：58,,,,,,,,2024-09-25 00:00:00,启航广告费,0.0,
,,145,2024-09-25 00:00:00,差值,111,,,广告配套,450,美国IP*50,11：24,,,,2024-09-25 00:00:00,广告配套,450.0,
,,146,2024-09-25 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,11：33,,,,,,95650.0,
,,147,2024-09-25 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,16:15:00,,,,,,,
,,148,2024-09-25 00:00:00,,,,,张总转出,4082,,18：59,,,,,,,
,,149,2024-09-25 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,SFA,19:20:00,,,,,,,
,,150,2024-09-25 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,22:00:00,,,,,,,
,,151,2024-09-25 00:00:00,海哥-印度粉9/22,22400,泰总,21:56:00,启航广告费,10000,启航,22:03:00,,,,,,,
,,152,2024-09-27 00:00:00,凯旋城三期印度,20000,成成,10:16:00,,,,,,,,,,,
,,153,2024-09-27 00:00:00,张总转入,4082,张总,10:23:00,fafa土耳其代投,9680,fafa,11:06:00,,,,,,,
,,154,2024-09-27 00:00:00,,,,,启航广告费,5845.92,启航,11:38:00,,,,,,,
,,155,2024-09-27 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,2352,"KE 33 (PDT) - YSC-Leigee-28
OE-A-103
MK 18 (PDT) - YSC-Leigee-10",14：21,(100+1000+1000)*1.12,,,,,,
,,156,2024-09-27 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,1120,OE-A-103,18：49,,,,,,,
,,157,2024-09-28 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,5600,OE-A-103,00:16:00,,,,,,,
,,158,2024-09-28 00:00:00,,,,,BM户对接点一点,66,点一点,11:49:00,,,,,,,
,,159,2024-09-28 00:00:00,,,,,印度粉测试,5250,~K in，打了250个,14:02:00,,,,,,,
,,160,2024-09-28 00:00:00,土耳其西港2期,50000,小柒,19:04:00,,,,,,,,,,,
,,161,2024-09-28 00:00:00,,,,,BM户测试,450,大白&,19:19:00,,,,,,,
,,162,2024-09-28 00:00:00,,,,,FF139&星辰-欧元户5%,2100,FB户商-欧洲美国三不限户,20:57:00,,,,,,,
,,163,2024-09-28 00:00:00,,,,,启航广告费,10000,启航,21:14:00,,,,,,,
,,164,2024-09-29 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,24920,20000*1.19+1000*1.12=24920（SFA 到账5000、EGM 到账5000、SFA充1万、E 33 (PDT) - YSC-Leigee-28 (544453334597690)充值1000、）,13：43,,,,,,,
,,165,2024-09-30 00:00:00,凯旋城三期印度,30000,成成,13:43:00,凤凰&洛阳&15+1（1200）&8+1（60）,40000,右边的已付4W,15:00:00,2024-9-29 19：49充值到账,凤凰&洛阳&15+1（1200）&8+1（60）,29400,OE-A-103 (1446417959541537)充值5000；SFA充2w,已付,,
,,166,2024-09-30 00:00:00,凯旋城三期印度,10000,成成,18:40:00,,,,,2024-9-29 22：04充值到账,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,已付,,
,,167,2024-09-30 00:00:00,凯旋城三期印度,90000,成成,18:47:00,,,,,2024-9-30 14:16充值到账,凤凰&洛阳&15+1（1200）&8+1（60）,23800,EGM,已付,,
,,168,2024-10-01 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,30000,右边的尾款,13：38,,,,,,,
,,169,2024-10-01 00:00:00,,,,,凤凰&洛阳&15+1（1200）&8+1（60）,1400,右边的尾款,18:53:00,1400在10/1的合并付款,,,,,,
,,170,,,,,,,,,,,,,,,,
,,171,,,,,,,,,,,,,,,,
,,172,,,,,,,,,,,,,,,,
,,173,,,,,,,,,,,,,,,,
,,174,,,,,,,,,,,,,,,,
,,175,,,,,,,,,,,,,,,,
,,176,,,,,,,,,,,,,,,,
,,177,,,,,,,,,,,,,,,,
,,178,,,,,,,,,,,,,,,,
,,179,,,,,,,,,,,,,,,,
,,180,,,,,,,,,,,,,,,,
,,181,,,,,,,,,,,,,,,,
,,182,,,,,,,,,,,,,,,,
,,183,,,,,,,,,,,,,,,,
,,184,,,,,,,,,,,,,,,,
,,185,,,,,,,,,,,,,,,,
,,186,,,,,,,,,,,,,,,,
,,187,,,,,,,,,,,,,,,,
,,188,,,,,,,,,,,,,,,,
,,189,,,,,,,,,,,,,,,,
,,190,,,,,,,,,,,,,,,,
,,191,,,,,,,,,,,,,,,,
,,192,,,,,,,,,,,,,,,,
,,193,,,,,,,,,,,,,,,,
,,194,,,,,,,,,,,,,,,,
,,195,,,,,,,,,,,,,,,,
,,196,,,,,,,,,,,,,,,,
,,197,,,,,,,,,,,,,,,,
,,198,,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,,
,,200,,,,,,,,,,,,,,,,
,,201,,,,,,,,,,,,,,,,
,,202,,,,,,,,,,,,,,,,
,,203,,,,,,,,,,,,,,,,
,,204,,,,,,,,,,,,,,,,
,,205,,,,,,,,,,,,,,,,
,,206,,,,,,,,,,,,,,,,
,,207,,,,,,,,,,,,,,,,
,,208,,,,,,,,,,,,,,,,
,,209,,,,,,,,,,,,,,,,
,,210,,,,,,,,,,,,,,,,
,,211,,,,,,,,,,,,,,,,
,,212,,,,,,,,,,,,,,,,
,,213,,,,,,,,,,,,,,,,
,,214,,,,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,,,,
,,216,,,,,,,,,,,,,,,,
,,217,,,,,,,,,,,,,,,,
,,218,,,,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,,,,
,,220,,,,,,,,,,,,,,,,
,,221,,,,,,,,,,,,,,,,
,,222,,,,,,,,,,,,,,,,
,,223,,,,,,,,,,,,,,,,
,,224,,,,,,,,,,,,,,,,
