日期,投手,账户,充值金额,户商清零金额,提交清零金额,转移金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,备用金,付款截图,Unnamed: 17
2025-12-09,HY,Matepro-ADA+8-QQB-730  1995443277941913,开户费,,停用,,/,50+6+1,50.0,"SON/GO：(137-10+103.88)*1.1-开户费120-30=103.97
MA：(-273.22-30+84.13)*1.07-开户费200-150=-584.43
M清零84.13、SON清零103.88",,,,,,,
2025-12-09,YJ,Matepro-ADA+8-QQB-731  1170635514911007,开户费,,,,,,50.0,,,,,,,,
2025-12-09,HY,Matepro-ADA+8-QQB-730  1995443277941913,10,-8.85,8.87,,已结算12/10,总充值10,0.7,,,,,,,,
2025-12-09,YJ,Matepro-ADA+8-QQB-731  1170635514911007,10,,,,,总充值10,0.7,,,,,,,,
2025-12-09,YK,Matepro-ADA+7-QQB-734  1051843140250821,开户费,,,,,,50.0,,,,,,,,
2025-12-09,YK,Matepro-ADA+7-QQB-734  1051843140250821,10,,,,,总充值10,0.7,,,,,,,,
2025-12-09,YK,SONZDD-ADA+7-GX-355  918428929037748,开户费,,停用,,/,/,30.0,,,,,,,,
2025-12-09,YK,SONZDD-ADA+7-GX-355  918428929037748,10,0,0,,已结算12/15,总充值10,1.0,,,,,,,,
2025-12-10,YJ,Matepro-ADA+8-QQB-731  1170635514911007,100,,,,,总充值110,7.0,"MA清零66.42、SON清零273.79
SON/GO：(230.88+273.79)*1.1-开户费150=405.14
MA：(-219.09-110+66.42)*1.07-开户费350=-631.06",,,,,,,
2025-12-10,HY,Matepro-ADA+8-QQB-744  2014784989291330,10,0,0,730换的,已结算12/13,总充值10,0.7,,,,,,,,
2025-12-11,YK,SONZDD-ADA+7-GX-355  918428929037748,100,-41.33,44.45204,,已结算12/15,总充值110,10.0,"SON/GO：(230.88+273.79-100)*1.1-开户费150=295.14
MA：(-219.09-110+66.42-100)*1.07-开户费350=-631.06",,,,,,,
2025-12-11,HY,Matepro-ADA+8-QQB-744  2014784989291330,100,-94.12,95.65,,已结算12/13,总充值110,7.0,,,,,,,,
2025-12-13,YK,Matepro-ADA+7-QQB-672  1251262999930791,100,-33.92,41.47,,已结算12/15,总充值110,7.0,"S清零79.57、M清零94.12
SON/GO：(404.67+79.57)*1.1-开户费150=382.66
MA：(-362.67+94.12-100)*1.07-开户费350=-744.35",,,,,,,
2025-12-15,JK,SONZDD-ADA+7-GX-346  663517608156247,100,,,,,总充值110,10.0,"son清零 41.33、M清零 33.92
SON/GO：(484.24+41.33-120)*1.1-开户费150-开户费60=236.13
MA：(-368.55+33.92-20)*1.07-开户费350-开户费100=-829.45",,,,,,,
2025-12-15,YK,SONZDD-ADA+7-GX-361  226474562977689,开户费,,停用,,/,,30.0,,,,,,,,
2025-12-15,YK,SONZDD-ADA+7-GX-362  253183416920600,开户费,,停用,,/,,30.0,,,,,,,,
2025-12-15,YK,Matepro-ADA+7-QQB-779  2028478607916752,开户费,,停用,,/,,50.0,,,,,,,,
