日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-11-06 00:00:00,瑞典,YJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,199.97,131.07,,6.201,68.9,75.101,
2025-11-06 00:00:00,瑞典,YJ,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,397.9655,226.7778125,,13.695015,171.1876875,184.8827025,
2025-11-06 00:00:00,瑞典,XH,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,219.39,,,19.7451,219.39,239.1351,
2025-11-06 00:00:00,马来西亚,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,13.505125,,,1.08041,13.505125,14.585535,
2025-11-07 00:00:00,瑞典,JK,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,1039.51,903.04,,12.2823,136.47,148.7523,
2025-11-07 00:00:00,瑞典,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,551.12,540.09,,0.9927,11.03,12.0227,
2025-11-07 00:00:00,瑞典,YK,Dong-115  3271878336299926,二不限,十月二不限——（泰华）,38.74,36.04,,0.054,2.7,2.754,
2025-11-07 00:00:00,瑞典,YK,Dong-117  3380936762065433,二不限,十月二不限——（泰华）,36.45,13.17,,0.4656,23.28,23.7456,
2025-11-07 00:00:00,瑞典,YK,Dong-116  1134280728907246,二不限,十月二不限——（泰华）,35.0,,,0.7,35.0,35.7,
2025-11-07 00:00:00,瑞典,LD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,5641.63,5634.73,,0.621,6.9,7.521,
2025-11-07 00:00:00,瑞典,LD,Tencent IS Pte.Ltd +8 -050  905176548823872,美金户,B哥-fb三不限10➕1,182.84,103.02,,8.7802,79.82,88.6002,
2025-11-07 00:00:00,马来西亚,YK,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,1286.984375,1187.459188,,7.962015,99.5251875,107.4872025,
2025-11-07 00:00:00,马来西亚,YK,BRG-USD-10005-080802-(GMT+7)  2142175782897284,美金户,泰华&启航,469.42,,,52.15777778,469.42,521.5777778,
2025-11-07 00:00:00,马来西亚,JK,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,51.17275,,,4.09382,51.17275,55.26657,
2025-11-07 00:00:00,瑞典,YJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,248.99,199.97,,4.4118,49.02,53.4318,
2025-11-07 00:00:00,瑞典,XH,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,468.07,361.75,,9.5688,106.32,115.8888,
2025-11-07 00:00:00,瑞典,FD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,10930.12,10928.37,,0.1575,1.75,1.9075,
2025-11-07 00:00:00,马来西亚,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,196.15,78.28,,10.6083,117.87,128.4783,
2025-11-07 00:00:00,马来西亚,XH,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,6.04,,,0.5436,6.04,6.5836,
2025-11-08 00:00:00,瑞典,LD,Tencent IS Pte.Ltd +8 -050  905176548823872,美金户,B哥-fb三不限10➕1,500.0,182.84,,34.8876,317.16,352.0476,
2025-11-08 00:00:00,瑞典,YJ,BON-XANY-USD-1022-04  6542495162497029,美金户,海总-黑泽,,180.54,历史消耗,,,,
2025-11-09 00:00:00,瑞典,MM,KMSL-keba-2  1587005335617106,二不限,二不限企业户服务费2%+0.5%,3.78,,,0.0945,3.78,3.8745,
2025-11-09 00:00:00,瑞典,MM,KMSL-keba-3  1327488135301841,二不限,二不限企业户服务费2%+0.5%,12.93,,,0.32325,12.93,13.25325,
2025-11-09 00:00:00,瑞典,MM,PeakTime-86  1068306401900453,美金户,凤凰&洛阳,14.76,,,1.6236,14.76,16.3836,
2025-11-09 00:00:00,瑞典,LD,Tencent IS Pte.Ltd +8 -050  905176548823872,美金户,B哥-fb三不限10➕1,503.45,500.0,,0.3795,3.45,3.8295,
2025-11-09 00:00:00,马来西亚,YK,BRG-USD-10005-080802-(GMT+7)  2142175782897284,美金户,泰华&启航,886.25,469.42,,46.31444444,416.83,463.1444444,
2025-11-09 00:00:00,马来西亚,LM,PeakTime-85  1817424052151470,美金户,凤凰&洛阳,0.11,,,0.0121,0.11,0.1221,
2025-11-10 00:00:00,瑞典,MM,BON-XANY-VND-0801-18  1430146614837022,越南盾,海总-黑泽,,0.21532,历史消耗,,,,
2025-11-10 00:00:00,瑞典,JK,Tencent IS Pte.Ltd +8 -088  377081334931199,美金户,B哥-fb三不限10➕1,,10.51,历史消耗,,,,
2025-11-10 00:00:00,瑞典,JK,BRGUSD-170099-0800802(GMT+5:30) 1146001080110771,美金户,泰华&启航,,24444.08,历史消耗,,,,
2025-11-10 00:00:00,马来西亚,YK,BRG-USD-10005-080802-(GMT+7)  2142175782897284,美金户,泰华&启航,1152.45,886.25,,29.57777778,266.2,295.7777778,
2025-11-10 00:00:00,瑞典,LD,SP-A7907-USD(+7)-005  679957838468653,美金户,路人互动-海总（50-7）山治,159.8,,,11.186,159.8,170.986,
2025-11-10 00:00:00,瑞典,MM,BON-XANY-VND-0801-18  1430146614837022,越南盾,海总-黑泽,121.80728,0.21532,,11.04054997,121.59196,132.63251,
2025-11-10 00:00:00,瑞典,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,267.65,,,29.4415,267.65,297.0915,
2025-11-10 00:00:00,瑞典,JK,Tencent IS Pte.Ltd +8 -088  377081334931199,美金户,B哥-fb三不限10➕1,110.46,10.51,,10.9945,99.95,110.9445,
2025-11-11 00:00:00,瑞典,LM,Tencent IS Pte.Ltd +8 -089  270468399386879,美金户,B哥-fb三不限10➕1,344.22,267.65,,8.4227,76.57,84.9927,
2025-11-11 00:00:00,瑞典,XH,BR-USD-170058-080802-(GMT+5:30)  410770464710264,美金户,泰华&启航,,1283.16,历史消耗,,,,
2025-11-11 00:00:00,瑞典,LD,SP-A7907-USD(+7)-005  679957838468653,美金户,路人互动-海总（50-7）山治,290.92,159.8,,9.1784,131.12,140.2984,
2025-11-11 00:00:00,瑞典,XH,BR-USD-170058-080802-(GMT+5:30)  410770464710264,美金户,泰华&启航,1421.07,1283.16,,15.32333333,137.91,153.2333333,
