地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
印度,印度B哥（汤总）,https://docs.google.com/spreadsheets/d/1DmmsoPIknTgO9s4EoArxaXDjxRHOeAKl5aF3ZsrqcJA/edit?usp=drivesdk,92123.06,4121.1,22.35399772,123200.0,28,115390.8,0,7809.2,,4/28结束,余款未退,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,,,,
,印度6期,4437,28,111064,-13172,,印度6期,剩余广告费,-13172,按有效算,-470.4285714,,,
,印度15期,1489,28,50000,8308,,印度15期,剩余广告费,8308,按有效算,,,,
,印度7期,,28,,0,,印度7期,剩余广告费,0,按有效算,,,,
,意大利（海哥）,75,120,30000,21000,,意大利（海哥）,剩余广告费,21000,按有效算,175,,,
,意大利二期,473,120,100000,43240,,意大利二期,剩余广告费,43240,按有效算,360.3333333,,,
,渠道B 德国A,44,125,6250,750,,渠道B 德国A,剩余广告费,750,按有效算,,,,
,,,,,,,,,,,,,,
,德国 张总（王总）,35,135,4725,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,意大利（海哥）,4/5 F85群 有效10,10.0
,渠道B 德国A,3/27 有效9,,意大利二期,3/25  YL85群 有效1,1.0,,德国 张总（王总）,4/29 S8-1群 有效35,35,,,4/6 B61群 有效12,12.0
,,3/28  有效15,,,3/31 MX61有效26,26.0,,,,,,,4/7     D81   有效12,12.0
,,3/31 有效20,,,3/26 XZ22 有效4,4.0,,,,,,,4/8 A50 有效2,2.0
,,,,,3/27  YE66  有效2,2.0,,,,,,,4/9 A50 有效1,1.0
,,,,,3/28 BB220有效4,4.0,,,,,,,4/11 A50 有效1,1.0
,德国股票粉1组【张小强】,4/10  F6  有效27,27,,3/29 XJ555 有效32,32.0,,,,,,,4/12 A50有效1,1.0
,,4/10  B2  有效28,28,,3/30 ZZ88群 有效29,29.0,,,,,,,4/13 A50 群 有效2,2.0
,,4/11  M8群 有效10,10,,3/31 BB220群 有效14,14.0,,,,,,,4/15 K68 有效1,1.0
,,"4/14  C8  有效15
V1 有效20
共计20+15=35",35,,4/1 X88 有效2,2.0,,,,,,,4/18 H68 有效5,5.0
,,4/16 A6群 有效17,17,,4/1 YE76  有效22,22.0,,,,,,,4/19 H68群 有效7,7.0
,,4/17 Q9有效10,10,,4/1   YL86 有效16,16.0,,,,35,,,"
4/21 F87群 有效2",2.0
,,4/18  Q9 有效21,21,,4/1   AW77  有效27,27.0,,,,,,,4/22 F87群 有效1,1.0
,,4/18 W2 有效21,21,,4/2 YE75 有效19,19.0,,,,,,,4/24 F87群 有效1,1.0
,,4/18 H9群 有效7,7,,4/2  YL86 有效11,11.0,,,,,,,4/25 F87 有效4,4.0
,,4/19  J4  有效25,25,,4/2 XJ666 有效34,34.0,,,,,,,4/27 F87有效1,1.0
,,4/19 K6群 有效28,28,,"4/3  AW72 有效20
X88 有效3",23.0,,,,,,,4/29 F87群 有效,9.0
,,4/19  L6 有效1,1,,"4/4  MX69 有效15
X88 有效2
共计15+2=17",17.0,,,,,,,4/30 H68 群 有效3,3.0
,,4/20  M7 有效4,4,,"4/5 X88群 有效37
      XZ22群有效0
共计有效37",37.0,,,,,,,,
,,4/21 L6群 有效7,7,,4/8 YL87 有效2,2.0,,,,,,,,
,,4/21 M7 有效9,9,,4/10 BB220群 有效23,23.0,,,,,,,,75.0
,,4/22  A10群  有效21,21,,4/10 AB888 有效1,1.0,,,,,,,,
,,4/22 M7群 有效17,17,,4/11 XJ555 有效2,2.0,,,,,,,,
,,4/23  U2群 有效4,4,,4/12 AW78 有效30,30.0,,,,,,,,
,,4/23 S3 有效4,4,,4/13 YE75群 有效4,4.0,,,,,,,,
,,4/24  W8  有效3,3,,4/13 AB888群 有效26,26.0,,,,,,,,
,,4/24  S3  有效5,5,,4/14  YE75 有效9,9.0,,,,,,,,
,,4/25  W2群  有效26,26,,4/15  X22  有效1,1.0,,,,,,,,
,,4/25   J1  有效1,1,,4/15  XJ555   有效2,2.0,,,,,,,,
,,,,,4/15 BB221  有效4,4.0,,,,,,,,
,,,331,,"4/16  MX63 有效3
BB221  有效2
共计有效5",5.0,,,,,,,,
,,,,,"4/17 BB221 有效1
4/17 MX61 有效1
共計有效 2",2.0,,,,,,,,
,,,,,4/21 Y L85有效 8,8.0,,,,,,,,
,,,,,4/22 YL86有效6,6.0,,,,,,,,
,,,,,4/24   XZ88   有效6,6.0,,,,,,,,
,,,,,4.25-427   XZ88  有效11,11.0,,,,,,,,
,,,,,4/28  BB221   有效1,1.0,,,,,,,,
,,,,,4/28  XZ88  有效1,1.0,,,,,,,,
,,,,,4.29-4.30 xz88  有效4,4.0,,,,,,,,
,,,,,4/30  BB221 有效2,2.0,,,,,,,,
,,,,,4/30  xz88   有效3,3.0,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,473.0,,,,,,,,
